98,160,E
157,158,F
214,155,F#
267,151,G
319,152,G#
367,150,A
409,147,Bb
459,148,B
499,144,C
542,141,C#
576,140,D
111,140,A
158,139,Bb
209,136,B
265,132,C
321,131,C#
361,130,D
404,126,D#
451,123,E
491,122,F
529,118,F#
563,117,G
116,122,D
164,119,D#
217,116,E
272,112,F
319,109,F#
363,108,G
405,106,G#
444,102,A
483,100,Bb
523,99,B
557,98,C
124,103,G
166,102,G#
224,98,A
275,96,Bb
315,94,B
358,90,C
399,88,C#
439,84,D
479,83,D#
515,80,E
549,79,F
132,89,B
181,87,C
225,86,C#
272,83,D
314,78,D#
356,74,E
397,73,F
435,70,F#
471,70,G
507,66,G#
535,64,A
137,79,E
183,75,F
228,73,F#
276,69,G
318,67,G#
354,65,A
393,62,Bb
431,59,B
467,56,C
501,55,C#
530,53,D
