37,123,F
90,124,F#
137,126,G
190,126,G#
239,127,A
291,130,Bb
344,130,B
397,132,C
451,133,C#
503,133,D
553,135,D#
610,136,E
45,115,Bb
94,115,B
146,115,C
194,116,C#
245,117,D
302,118,D#
349,118,E
399,119,F
448,120,F#
503,119,G
554,120,G#
606,122,A
49,106,D#
99,106,E
149,106,F
201,106,F#
250,106,G
301,107,G#
353,107,A
403,107,Bb
451,107,B
502,107,C
554,108,C#
605,107,D
55,98,,G#
106,98,A
155,96,Bb
201,97,B
257,97,C
304,97,C#
352,95,D
402,95,D#
458,95,E
504,94,F
551,94,F#
600,94,G
61,92,,C
110,91,C#
159,90,D
208,88,D#
256,88,E
307,89,F
357,86,F#
404,86,G
455,85,G#
501,84,A
551,82,Bb
600,81,B
68,83,,F
116,83,F#
164,82,G
217,80,G#
262,81,A
311,78,Bb
360,79,B
409,78,C
457,76,C#
505,76,D
549,74,D#
595,73,E
